term,normalized_term,category
spinal lamina VII,spinal laminar vii,anatomy
Brodmann (1909) area 20,brodmann area,anatomy
"Amygdala, Basolateral",amygdala basolateral,anatomy
area 1 of Mauss-1908,area 1,anatomy
thalamomammillary fasciculus,fasciculus,anatomy
lamina alba of cerebellar cortex,laminar alba cerebellar cortex,anatomy
"paragigantocellular nucleus, lateral part",nucleus lateral part,anatomy
region 4 of Ammon's horn,region 4 ammon horn,anatomy
Zygomatic nerve,zygomatic nerve,anatomy
central gray substance of the medulla,central gray substance medulla,anatomy
predominantly white regional part of superior colliculus,predominantly white region part superior colliculus,anatomy
parietal cortex,parietal cortex,anatomy
superior olive lateral part,superior olive lateral part,anatomy
Anterior Ventral Cochlear Nucleus,anterior ventral cochlear nucleus,anatomy
first thoracic spinal cord segment,first thoracic spinal cord segment,anatomy
spinal portion of eleventh cranial nerve,spinal portion eleven cranial nerve,anatomy
central grey,central grey,anatomy
laterodorsal nucleus thalamic nucleus,laterodorsal nucleus thalamic nucleus,anatomy
rubrozerebellare Fasern,,anatomy
cortical areas of Pandya,cortical area pandya,anatomy
"Brodmann area 26, ectosplenial",brodmann area,anatomy
pallidothalamic pathway,pathway,anatomy
optic recess,optic recess,anatomy
superior colliculus intermediate deep white layer,superior colliculus intermediate deep white layer,anatomy
geniculate ganglion of facial nerve,geniculate ganglion facial nerve,anatomy
Reticular Formation of Pons,reticular formation pons,anatomy
dorsolateral prefrontal cortex layer 2,dorsolateral prefrontal cortex layer,anatomy
central nucleus of the spinal cord,central nucleus spinal cord,anatomy
lobule H IX of Larsell,lobule ix,anatomy
mammillotegmental axonal tract,axonal tract,anatomy
reticular tegmental nucleus,reticular tegmental nucleus,anatomy
nucleus of Kolliker-Fuse,nucleus fuse,anatomy
primary motor cortex layer 5,primary motor cortex layer,anatomy
"Gyrus, Cingular",gyrus cingulate,anatomy
lamina medullaris externa corporis striati,laminar medulla external,anatomy
"medial amygdalar nucleus, posteroventral part",medical amygdala nucleus posteroventral part,anatomy
Walker's areas,walker area,anatomy
precentral gyrus of the insula,precentral gyrus insula,anatomy
dorsal tegmental bundle,dorsal tegmental bundle,anatomy
nucleus subthalamicus,nucleus,anatomy
ventral accessory nucleus of inferior olivary complex,ventral accessory nucleus inferior olivary complex,anatomy
cerebellum vermis lobule,cerebellar vermis lobule,anatomy
fimbriodentate sulcus,sulcus,anatomy
B4 cell group,b4 cell group,anatomy
heterotypic cortex,heterotypic cortex,anatomy
"pituitary gland, posterior lobe",pituitary gland posterior lobe,anatomy
"Brodmann area 22, superior temporal",brodmann area 22 superior temporal,anatomy
dorsal longitudinal fascicle,dorsal longitudinal fascicle,anatomy
Nucleus Ambiguus,nucleus ambiguus,anatomy
white striae of Lancisi,white,anatomy
striosomal compartment,compartment,anatomy
lateral column of spinal cord,lateral column spinal cord,anatomy
Parafascicular Nucleus,parafascicular nucleus,anatomy
substantia centralis medullaris cerebri,substantia central medulla cerebro,anatomy
Gonadotroph,,anatomy
"Raphe Nucleus, Pontine",raphe nucleus pontine,anatomy
layer I of neocortex,layer neocortex,anatomy
"subparafascicular nucleus, parvicellular part",nucleus parvocellular part,anatomy
Intracerebellar Nucleus,nucleus,anatomy
decussation of the superior cerebellar peduncle (Wernekinck),decussation superior cerebellar peduncle,anatomy
superficial pes lemniscus,superficial pes lemniscus,anatomy
retrosplenial gyrus of hippocampus,retrosplenial gyrus hippocampus,anatomy
posterior intralaminar thalamic nucleus,posterior intralaminar thalamic nucleus,anatomy
Fornices (Brain),fornices brain,anatomy
postcentral sulcus,postcentral sulcus,anatomy
"paravermis, posterior lobe portion",posterior lobe portion,anatomy
striohypothalamic nucleus,nucleus,anatomy
Choroid plexus oflateral ventricle,choroid plexus ventricular,anatomy
layer of CA3 field,layer ca3 field,anatomy
entorhinal area,entorhinal area,anatomy
lateral ventricle,lateral ventricle,anatomy
Ventral tegmental decussation,ventral tegmental decussation,anatomy
biventral lobule [h VIII],lobule viii,anatomy
periependymal fasciculus,fasciculus,anatomy
frontal thalamic peduncle,frontal thalamic peduncle,anatomy
pericalcarine cortex,pericalcarine cortex,anatomy
gracilis tubercle,gracilis tubercle,anatomy
"paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part",paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part,anatomy
islands of Calleja,island,anatomy
"Cortices, Prepyriform",cortices,anatomy
medial parolfactory nucleus,medical nucleus,anatomy
deep layer of superior colliculus,deep layer superior colliculus,anatomy
Cardiac ganglion,cardiac ganglion,anatomy
anterior parieto-occipital sulcus,anterior parieto occipital sulcus,anatomy
Intercalated Amygdaloid Nucleus,intercalated amygdaloid nucleus,anatomy
cortical plate (areas),cortical plate area,anatomy
posterolateral cortical amygdaloid area,posterolateral cortical amygdaloid area,anatomy
lamina IV of gray matter of spinal cord,laminar iv gray matter spinal cord,anatomy
between brain floor plate,brain floor plate,anatomy
anterior spinocerebellar tract,anterior spinocerebellar tract,anatomy
nucleus pericentralis colliculi inferioris,nucleus colliculus,anatomy
Cerebellum Uvula,cerebellum uvula,anatomy
anterior column,anterior column,anatomy
Nucleus Linearis,nucleus,anatomy
angular sulcus,angular sulcus,anatomy
ambiens gyrus,gyrus,anatomy
"inferior colliculus, central nucleus",inferior colliculus central nucleus,anatomy
Circumesophageal connective,connectivity,anatomy
Lateral vestibulospinal tract,lateral vestibular tract,anatomy
"Areas, Medial Preoptic",area medical preoptic,anatomy
Long gyrus of insula,long gyrus insula,anatomy
lateral tuberal nuclei,lateral nuclei,anatomy
posterior lobe of pituitary,posterior lobe pituitary,anatomy
internal medullary lamina of globus pallidus,internal medulla laminar globus pallidus,anatomy
Fimbrias (Brain),brain,anatomy
Hadjikhani et al. (1998) visuotopic area v8,hadjikhani et al visuotopic area v8,anatomy
caudate-putamen,caudate putamen,anatomy
occipital gyrus,occipital gyrus,anatomy
mammillary region,mammillary region,anatomy
Arachnoid membrane,arachnoid membrane,anatomy
simple lobule of cerebellum [h vi and vi],simple lobule cerebellum vi vi,anatomy
"Area, Somatic Motor",area somatic motor,anatomy
fornical commissure,commissure,anatomy
"Anterior Hypothalamus, Nucleus",anterior hypothalamus nucleus,anatomy
prehippocampal rudiment,,anatomy
medial forebrain bundle system,medial forebrain bundle system,anatomy
area 17 of Mauss,area,anatomy
Reil's band,band,anatomy
area subgenualis,area,anatomy
"Brodmann area 12, prefrontal",brodmann area prefrontal,anatomy
nucleus medialis fibrosus (hassler),nucleus medical,anatomy
"Motor Cortices, Sensory",motor cortices sensory,anatomy
"lateral hypothalamic area, motor related, juxtaventromedial region",lateral hypothalamic area motor related region,anatomy
stria terminalis,stria terminalis,anatomy
anterior lobe of hypophysis,anterior lobe,anatomy
parietal operculum,parietal operculum,anatomy
hippocampal formation (Insausti),hippocampal formation,anatomy
"Callosum, Corpus",callosum corpus,anatomy
radiatio thalamica posterior,posterior,anatomy
"supramammillary nucleus, medial part",nucleus medical part,anatomy
Circumoral nerve ring,nerve ring,anatomy
midbrain tegmentum,midbrain tegmentum,anatomy
lateral paragigantocellular reticular nucleus,lateral reticular nucleus,anatomy
stratum granulosum corticis cerebelli,striatum cerebellum,anatomy
nucleus of medial longitudinal fasciculus of medulla,nucleus medial longitudinal fasciculus medulla,anatomy
rostral linear nucleus of the raphe,rostral linear nucleus raphe,anatomy
"Thalamic Nucleus, Ventrolateral",thalamic nucleus ventrolateral,anatomy
"Ducts, Mesencephalic",duct mesencephalic,anatomy
Central root4Cerebrospinal axis,central axis,anatomy
intermediate subdivision of the caudal VCo division,intermediate subdivision caudal division,anatomy
medullary reticulospinal tract,medulla reticulospinal tract,anatomy
paracentral lobule,paracentral lobule,anatomy
vermis of the anterior lobe,vermis anterior lobe,anatomy
Precentral Motor Cortex,precentral motor cortex,anatomy
subcortical visual system,subcortical visual system,anatomy
"Cerebri, Crura",cerebro,anatomy
Brain Stems,brain stem,anatomy
dorsal part of the anterior hypothalamic nucleus,dorsal part anterior hypothalamus nucleus,anatomy
Periventricular bundle of thalamus,periventricular bundle thalamus,anatomy
area 34 of Brodmann,area brodmann,anatomy
microgyric part of the dentate nucleus,part dentate nucleus,anatomy
area 23a (macaque),area macaque,anatomy
Medulla Oblongatas,medulla,anatomy
fasciculus of Schutz of midbrain,fasciculus midbrain,anatomy
rostral commissure,rostral commissure,anatomy
"Lobe, Occipital",lobe occipital,anatomy
nucleus H of ventral tegmentum,nucleus ventral tegmentum,anatomy
"Hypothalamica Lateralis, Area",lateral area,anatomy
Muscular branches of musculocutaneous nerve,muscular branch nerve,anatomy
area 9M,area,anatomy
Rexed's lamina III,laminar iii,anatomy
medial lemniscus decussation,medial lemniscus decussation,anatomy
medial orbital sulcus,medical orbital sulcus,anatomy
layer of medium-sized pyramidal and triangular cells,layer medium size pyramidal triangular cell,anatomy
bundle of Rasmussen,bundle rasmussen,anatomy
CA3 field of hippocampus,ca3 field hippocampus,anatomy
middle region of motor thalamus,middle region motor thalamus,anatomy
caudal dorsomedial oral part of the spinal trigeminal nucleus,caudal dorsomedial oral part spinal trigeminal nucleus,anatomy
"Areas, Secondary Somatosensory",area secondary somatosensory,anatomy
Pontine central tegmental tract,pontine central tegmental tract,anatomy
Secondary Somatosensory Area,secondary somatosensory,anatomy
"Gyrus, Orbital",gyrus orbital,anatomy
brachium of inferior colliculus,brachium inferior colliculus,anatomy
anterior commissural nucleus (Peterson),anterior commissure nucleus peterson,anatomy
intralaminar nuclear group of thalamus,intralaminar nuclear group thalamus,anatomy
Temporal Lobes,temporal lobe,anatomy
Corticotrophs,,anatomy
ventral spinocerebellar tract of the medulla,ventral spinocerebellar tract medulla,anatomy
dentate nucleus,dentate nucleus,anatomy
spinal cord nucleus,spinal cord nucleus,anatomy
B4 serotonin cells,b4 serotonin cell,anatomy
area paraolfactoria,area,anatomy
nucleus PV-PT,nucleus pv pt,anatomy
Calleja Islets,islets,anatomy
ventral oculomotor nucleus,ventral oculomotor nucleus,anatomy
Pons Dorsal Part,pons dorsal part,anatomy
pons spinothalamic tract,pons spinothalamic tract,anatomy
fasciculus of Schutz of medulla,fasciculus medulla,anatomy
cornucommissural tract,tract,anatomy
betz' cells,betz cell,anatomy
Nucleus Caudatus,nucleus caudatus,anatomy
Limiting sulcus,limiting sulcus,anatomy
Thalamic part of third ventricle,thalamic part third ventricle,anatomy
fasciolar gyrus,gyrus,anatomy
tegmentocerebellar tract,tract,anatomy
Primary Motor Area,primary motor area,anatomy
ventral region of the lateral hypothalamus,ventral region lateral hypothalamus,anatomy
"Nucleus, Anterior Interpositus",nucleus anterior interposed,anatomy
principal mammillary tract,principal mammillary tract,anatomy
A10 dopaminergic cell group,a10 dopamine cell group,anatomy
isthmus of the corpus callosum,isthmus corpus callosum,anatomy
A6 cell group,a6 cell group,anatomy
pontomedullary junction,pontomedullary junction,anatomy
"Nucleus, Suprageniculate Thalamic",nucleus thalamic,anatomy
Cornu Ammonis 2 Area,cornu ammonis area,anatomy
striatonigral fibers,striatonigral fiber,anatomy
comb bundle,comb bundle,anatomy
layer of cerebellum,layer cerebellum,anatomy
Brodmann (1909) area 30,brodmann area 30,anatomy
anterior interposed nucleus,anterior interposed nucleus,anatomy
Gowers' tract,tract,anatomy
"Colliculus Commissures, Superior",colliculus commissure superior,anatomy
granular cortex,granular cortex,anatomy
"Nigra, Substantia",nigra substantia,anatomy
posterior midbody,posterior midbody,anatomy
Ventral Posteromedial Nucleus,ventral posteromedial nucleus,anatomy
pyramis of cerebellum,cerebellum,anatomy
subthalamus,,anatomy
temperoparietal area,area,anatomy
body of Forel,body,anatomy
"Lucidums, Septum",septum,anatomy
"Supraopticus, Nucleus",nucleus,anatomy
Plexus Choroideus,plexus,anatomy
"Central Gray, Mesencephalic",central gray mesencephalic,anatomy
calcarine fissure,calcarine fissure,anatomy
"nucleus medialis dorsalis, pars magnocellularis",nucleus medical dorsal pars magnocellular,anatomy
Vestibulocochlear nerve,nerve,anatomy
anterior tubercle,anterior tubercle,anatomy
Hippocampal Commissures,hippocampus commissure,anatomy
shell region of nucleus accumbens,shell region nucleus accumbens,anatomy
peripaleocortical claustral region,region,anatomy
"nucleus ventralis lateralis, pars oralis",nucleus ventral lateral pars oralis,anatomy
strionigral fibers,fiber,anatomy
white matter of neuraxis of brain,white matter neuraxis brain,anatomy
Telencephalic Commissures,telencephalon commissure,anatomy
pontine nucleus of the trigeminal nerve,pontine nucleus trigeminal nerve,anatomy
sulcus of the preoccipital incisura,sulcus,anatomy
dorsal accessory nucleus of inferior olivary complex,dorsal accessory nucleus inferior olivary complex,anatomy
area 9/46d,area 9,anatomy
rostral part of the lateral subnucleus,rostral part lateral subnucleus,anatomy
paraventricular nucleus,paraventricular nucleus,anatomy
medial division of the dorsal root,medial division dorsal root,anatomy
paraterminal body,body,anatomy
brain fasciculus,brain fasciculus,anatomy
fimbria hippocampus,fimbria hippocampus,anatomy
serotonergic group B1,serotonergic group b1,anatomy
"ventral cochlear nucleus, posterior part",ventral cochlear nucleus posterior part,anatomy
dorsolateral prefrontal cortex layer 3,dorsolateral prefrontal cortex layer,anatomy
"Parabrachialis Lateralis, Nucleus",lateral nucleus,anatomy
"Area, Supplementary Motor",area supplementary motor,anatomy
dorsal longitudinal fasciculus,dorsal longitudinal fasciculus,anatomy
lateral part of the medial mammillary nucleus,lateral part medical mammillary nucleus,anatomy
nucleus thalamicus anteroventralis,nucleus,anatomy
anterior nucleus of the hypothalamus,anterior nucleus hypothalamus,anatomy
layer CA2py,layer,anatomy
"Nucleus, Tuberomammillary",nucleus tuberomammillary,anatomy
opercular part of the inferior frontal gyrus,opercular part inferior frontal gyrus,anatomy
angular thalamic nucleus,angular thalamic nucleus,anatomy
orbital sulci,orbital sulci,anatomy
